,Year,Runtime (Minutes),Rating,Votes,Metascore,Revenue (Millions),imdb_avg_cast_pts,yga_avg_cast_rank,imdb_avg_director_pts,yga_avg_director_rank,genre_avg_rank,revenue_groups
0,2014,121,8.1,757074,76.0,333.13,28064.5,304.5,0,0,2.6666666666666665,4
1,2012,124,7.0,485820,65.0,126.46,23137.333333333332,784.6666666666666,70150,28,6.0,4
2,2016,117,7.3,157606,62.0,138.12,12445.0,1015.0,18353,30,10.5,4
3,2016,108,7.2,60545,59.0,270.32,38746.0,204.25,0,0,7.333333333333333,4
4,2016,123,6.2,393727,40.0,325.02,34086.75,465.0,10153,0,3.0,4
5,2016,103,6.1,56036,42.0,45.13,64122.333333333336,154.5,3587,0,3.0,2
6,2016,128,8.3,258682,93.0,151.06,31991.75,153.5,16062,0,8.0,4
7,2016,141,7.1,7188,78.0,8.01,7528.0,928.0,2128,0,5.333333333333333,1
8,2016,116,7.0,192177,41.0,100.01,35206.25,310.0,14580,0,5.0,3
9,2016,133,7.5,232072,66.0,234.02,15013.0,1158.0,0,0,5.666666666666667,4
10,2016,127,7.8,93103,74.0,169.27,16219.666666666666,400.3333333333333,3567,0,10.333333333333334,4
11,2016,133,7.9,323118,65.0,532.17,8110.5,940.0,0,0,2.6666666666666665,4
12,2016,107,7.7,118151,81.0,248.75,0.0,35.0,0,0,4.333333333333333,4
13,2016,109,6.4,8612,70.0,2.87,29337.5,480.0,584,0,3.0,1
14,2016,87,6.6,120259,61.0,368.31,3780.0,908.5,0,0,4.333333333333333,4
15,2016,139,8.2,211760,71.0,67.12,15097.0,1115.3333333333333,21893,0,10.333333333333334,3
16,2016,123,6.7,150823,58.0,162.16,50855.0,694.25,26241,0,4.5,4
17,2016,118,8.1,102061,69.0,51.69,23124.666666666668,608.0,2610,0,8.0,3
18,2016,116,8.0,340798,81.0,100.5,36605.75,349.3333333333333,29887,0,6.666666666666667,3
19,2016,120,6.7,19053,49.0,7.22,21856.0,502.5,1632,0,3.6666666666666665,1
20,2016,137,7.9,134213,96.0,47.7,31502.5,1026.6666666666667,3018,0,3.0,2
21,2016,92,6.5,38552,56.0,153.69,9567.0,668.5,0,0,4.333333333333333,4
22,2016,120,5.3,127553,32.0,103.14,16893.0,408.6666666666667,4571,0,2.6666666666666665,3
23,2015,159,8.3,76193,0.0,6.5,0.0,0.0,0,0,2.0,1
24,2016,99,4.7,523,0.0,0.01,1455.0,0.0,0,0,10.5,1
25,2016,100,6.2,66540,60.0,113.08,12167.0,502.5,0,0,4.0,3
26,2016,115,5.9,112813,36.0,54.65,34451.0,958.25,633,0,2.0,3
27,2016,111,6.3,48123,39.0,60.31,19155.0,410.5,1252,0,4.0,3
28,2016,116,7.5,126030,67.0,10.64,36209.75,594.6666666666666,4665,0,5.0,1
29,2016,144,7.1,275510,52.0,155.33,28125.0,801.0,17703,0,2.6666666666666665,4
30,2016,108,8.0,627797,65.0,363.02,7804.0,97.0,0,0,2.3333333333333335,4
31,2016,107,5.6,46165,49.0,26.84,8135.0,633.0,0,0,7.0,2
32,2016,147,7.9,411656,75.0,408.08,23593.75,446.75,0,0,2.6666666666666665,4
33,2014,169,8.6,1047747,74.0,187.99,50941.333333333336,323.0,143174,48,3.0,4
34,2016,115,7.6,293732,72.0,232.6,33934.666666666664,716.0,2962,0,3.0,4
35,2016,132,6.9,122853,54.0,93.38,38846.666666666664,348.0,13793,100,7.0,3
36,2016,89,6.3,120690,66.0,97.66,22935.666666666668,576.0,0,0,4.333333333333333,3
37,2016,111,7.5,135095,99.0,27.85,22922.0,1247.5,3247,0,3.0,2
38,2016,115,7.2,37033,66.0,12.79,29021.666666666668,104.0,5924,0,10.333333333333334,1
39,2016,99,6.3,279,57.0,4.21,7660.0,1403.0,0,0,3.0,1
40,2011,136,6.7,395025,45.0,241.06,48491.333333333336,546.5,11451,0,3.0,4
41,2016,132,7.3,17818,64.0,3.44,26476.666666666668,1071.5,4814,0,5.0,1
42,2016,122,7.1,164567,68.0,158.8,14554.0,712.3333333333334,0,0,2.6666666666666665,4
43,2015,136,8.1,661608,81.0,936.63,23577.0,1132.75,17412,0,3.0,4
44,2016,91,5.8,41362,23.0,30.35,7832.0,991.0,0,0,3.0,2
45,2016,118,5.6,20221,18.0,32.46,14794.0,290.75,3056,18,3.5,2
46,2014,101,7.2,321933,68.0,43.0,39085.0,126.0,12562,0,6.0,2
47,2008,152,9.0,1791916,82.0,533.32,86125.0,351.75,143174,48,4.666666666666667,4
48,2016,161,7.3,49190,79.0,7.08,21427.5,558.3333333333334,103526,11,6.333333333333333,1
49,2016,88,7.2,121103,71.0,89.21,0.0,0.0,0,0,10.0,3
50,2016,106,7.4,113322,51.0,56.23,682.0,1177.0,0,0,7.0,3
51,2016,117,7.0,3739,76.0,3.18,1905.0,1415.0,1955,0,6.0,1
52,2016,96,7.5,137608,74.0,125.07,60259.333333333336,606.6666666666666,56012,0,8.0,4
53,2016,151,6.7,472307,44.0,330.25,28555.5,509.25,0,0,2.6666666666666665,4
54,2016,112,6.5,102177,48.0,75.31,11078.75,835.0,7823,0,8.0,3
55,2015,125,4.1,244474,46.0,166.15,20787.0,790.0,0,0,7.0,4
56,2006,130,8.5,913152,66.0,53.08,85493.25,146.5,143174,48,6.666666666666667,3
57,2014,129,7.7,440209,58.0,128.25,58586.5,484.75,6283,0,2.3333333333333335,4
58,2016,133,7.4,39784,69.0,31.86,32100.5,462.3333333333333,7909,0,8.333333333333334,2
59,2015,120,8.1,632842,90.0,153.63,28043.0,745.75,3021,0,2.6666666666666665,4
60,2016,106,7.5,291,61.0,0.01,22114.666666666668,421.3333333333333,0,0,3.0,1
61,2016,107,7.2,89849,68.0,61.28,31320.0,74.5,7909,0,4.0,3
62,2016,124,7.1,78079,60.0,40.07,104378.5,880.0,63408,37,5.333333333333333,2
63,2016,108,7.5,39134,76.0,3.73,19314.5,518.0,5108,0,4.5,1
64,2016,97,6.8,43977,23.0,30.98,46395.25,308.5,3497,0,7.0,2
65,2016,108,8.1,296853,78.0,341.26,718.0,501.6666666666667,0,0,4.333333333333333,4
66,2007,169,7.1,498821,50.0,309.4,54496.0,487.75,21634,0,3.0,4
67,2012,143,8.1,1045588,69.0,623.28,31604.25,308.75,4151,78,3.5,4
68,2009,153,8.3,959065,69.0,120.52,58623.5,47.0,108315,9,7.666666666666667,4
69,2006,151,7.3,552027,53.0,423.03,58905.0,567.0,21634,0,3.0,4
70,2016,116,5.3,147717,60.0,128.34,12479.0,501.5,2839,0,4.0,4
71,2010,148,8.8,1583625,74.0,292.57,87493.66666666667,571.6666666666666,143174,48,2.6666666666666665,4
72,2016,118,7.9,105081,72.0,5.88,29869.0,677.0,0,0,3.5,1
73,2013,180,8.2,865134,75.0,116.87,64875.0,323.5,103526,11,8.666666666666666,4
74,2014,149,8.1,636243,79.0,167.74,25696.333333333332,436.75,83185,93,8.0,4
75,2015,137,7.2,301249,67.0,350.03,18008.5,182.0,6578,0,6.0,4
76,2015,124,7.0,455169,59.0,652.18,16474.0,600.5,0,0,2.6666666666666665,4
77,2016,129,6.4,27869,49.0,10.38,36418.666666666664,895.0,16143,0,6.0,1
78,2009,162,7.8,935408,83.0,760.51,25287.666666666668,543.75,35492,10,3.0,4
79,2015,187,7.8,341170,68.0,54.12,39269.0,277.0,108315,9,8.0,3
80,2016,128,7.4,162122,51.0,86.2,30320.0,663.3333333333334,7121,0,4.666666666666667,3
81,2013,153,8.1,431185,74.0,60.96,37706.25,465.0,29887,0,8.0,3
82,2016,123,7.0,187547,32.0,47.17,6738.666666666667,1220.3333333333333,9834,0,3.0,2
83,2011,146,8.1,342429,62.0,169.71,22585.0,427.75,7823,0,3.0,4
84,2016,114,7.1,106463,57.0,43.02,18262.5,912.5,30559,88,5.333333333333333,2
85,2015,141,7.4,516895,66.0,458.99,30506.0,238.25,4151,78,2.6666666666666665,4
86,2016,116,7.4,175067,70.0,36.25,63196.5,163.0,15787,0,5.0,2
87,2016,106,8.6,34110,79.0,4.68,0.0,0.0,0,0,5.666666666666667,1
88,2016,90,5.8,9247,62.0,0.15,0.0,0.0,0,0,10.333333333333334,1
89,2016,105,6.3,10181,77.0,1.29,16821.0,794.0,0,0,7.333333333333333,1
90,2006,151,8.5,937414,85.0,132.37,103158.5,56.0,103526,11,6.333333333333333,4
91,2015,132,7.0,108836,55.0,1.87,33162.5,1039.0,2492,136,8.333333333333334,1
92,2011,115,7.0,570814,57.0,181.02,33566.5,330.5,584,0,3.0,4
93,2015,144,8.0,556097,80.0,228.43,56906.25,676.0,70150,28,3.0,4
94,2015,116,7.3,202973,56.0,45.43,7314.25,1121.0,24047,47,2.3333333333333335,2
95,2016,102,7.7,115546,88.0,26.86,11292.0,604.0,626,0,6.333333333333333,2
96,2016,120,5.4,1954,40.0,1.66,91607.5,325.6666666666667,7650,0,4.0,1
97,2016,110,6.3,117590,44.0,126.59,24577.0,931.0,0,0,2.0,4
98,2014,108,7.7,339797,78.0,25.44,19310.0,1264.3333333333333,5722,0,6.666666666666667,2
99,2016,89,6.3,3712,44.0,10.16,1365.0,0.0,0,0,7.666666666666667,1
100,2013,134,8.1,486338,96.0,56.67,82232.66666666667,704.0,12290,0,10.333333333333334,3
101,2006,117,7.7,637104,52.0,210.59,5484.0,724.5,0,0,9.0,4
